Engleza,Romana
the,cel
be,fi
to,la
and,și
a,o/un
of,a/cu/ale/de
i,eu
in,în
that,acea
you,tu
have,avea
it,aceasta
do,do
for,pentru
on,pe
with,cu
he,el
this,acest
as,la fel de
we,noi
but,dar
not,nu
they,ei
what,ce
at,la
my,Ale mele
his,a lui
get,obține
go,merge
from,din
will,voi
say,Spune
can,poate sa
by,de
or,sau
all,toate
me,pe mine
she,ea
so,asa de
there,Acolo
about,despre
your,ta
one,unu
if,dacă
her,a ei
out,afară
just,doar
when,când
like,ca
up,sus
who,OMS
make,face
would,ar
no,Nu
their,al lor
time,timp
see,vedea
more,Mai mult
know,stiu
come,vino
think,gândi
take,lua
him,-l
how,Cum
them,lor
want,vrei
other,alte
could,ar putea
now,acum
year,an
look,uite
right,dreapta
into,în
people,oameni
our,al nostru
which,care
then,apoi
here,Aici
back,înapoi
work,muncă
than,decât
some,niste
way,cale
only,numai
tell,spune
because,deoarece
good,bun
over,peste
thing,lucru
use,utilizare
need,nevoie
two,Două
day,zi
even,chiar
these,aceste
where,Unde
give,da
man,om
find,găsi
after,după
well,bine
us,S.U.A
also,de asemenea
much,mult
new,nou
life,viaţă
any,orice
first,primul
should,ar trebui să
call,apel
down,jos
most,cel mai
those,acestea
very,foarte
too,de asemenea
why,De ce
feel,simt
really,într-adevăr
through,prin
try,încerca
never,nu
before,inainte de
something,ceva
many,mulți
let,lăsa
help,Ajutor
little,mic
off,oprit
long,lung
may,Mai
child,copil
mean,Rău
woman,femeie
still,încă
love,dragoste
ask,cere
great,Grozav
show,spectacol
leave,părăsi
around,în jurul
world,lume
talk,vorbi
start,start
last,ultimul
school,şcoală
keep,a pastra
own,proprii
put,a pune
home,Acasă
while,in timp ce
place,loc
oh,Oh
another,o alta
big,mare
turn,întoarce
same,la fel
such,astfel de
three,Trei
family,familie
again,din nou
change,Schimbare
play,Joaca
both,ambii
each,fiecare
always,mereu
high,înalt
old,vechi
every,fiecare
point,punct
hear,auzi
run,alerga
state,stat
away,departe
happen,întâmpla
might,ar putea
better,mai bine
house,casa
move,mișcare
become,deveni
seem,pare
hand,mână
between,între
end,Sfârşit
yeah,da
friend,prieten
live,Trăi
name,Nume
few,puţini
sure,sigur
believe,crede
night,noapte
since,de cand
problem,problemă
best,Cel mai bun
part,parte
yes,da
guy,tip
bad,rău
far,departe
hold,tine
stop,Stop
